Marca temporal,Tipo de registro,Procedimiento o proceso en el que se le atendió,Servicios referidos (Detalle),"Detalles de la queja, sugerencia o felicitación",Departamento que lo atendió,Instancia,,,,,
6/14/2024 17:48:26,Sugerencia,Actualización y Capacitación Docentes,laboratorio ,no había internet ,,,,,,,
6/14/2024 18:28:36,Felicitación,Control de Información Documentada,Documentación ,Felicitación ,,,,,,,
6/18/2024 12:30:21,Felicitación,Préstamo de Equipo Informático,Laboratorio de usos múltiples ,Muy buena compu 👌 ,,,,,,,
6/18/2024 18:10:12,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo ,.,,,,,,,
6/18/2024 18:22:38,Felicitación,Gestión del Diseño de Programas de Estudio,Servicio de préstamo de equipo informático,Deberían de conectar todas las computadoras a internet ,,,,,,,
6/18/2024 18:23:50,Sugerencia,Gestión de la Movilidad Académica,Para qué la encuesta?,Mas internet en las compus,,,,,,,
6/19/2024 10:03:13,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Tarea,Ninguna ,,,,,,,
6/19/2024 10:21:46,Felicitación,Préstamo de Equipo Informático,Laboratorio de cómputo,Felicitación,,,,,,,
6/19/2024 10:22:34,Felicitación,Préstamo de Equipo Informático,Computadora ,Todo bien ,,,,,,,
6/19/2024 10:22:36,Felicitación,Préstamo de Equipo Informático,Computadora,Felicidades,,,,,,,
6/19/2024 12:19:55,Felicitación,Tutorías,Préstamo de computadora ,Equipo excelente ,,,,,,,
6/24/2024 9:45:21,Felicitación,Préstamo de Equipo Informático,prestamo de computadora ,buena atencion,,,,,,,
6/25/2024 16:19:20,Queja,Gestión del Diseño de Programas de Estudio,Hahahha,Mala internet nefasto ,Subdirección Académica,,,,,,
6/25/2024 16:19:38,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Uso de equipo de cómputo,"Felicidades, al final arreglaron las compis sin internet ",Departamento de Servicios Estudiantiles,,,,,,
6/25/2024 17:19:53,Felicitación,Concurso de Exámenes de Oposición de Cátedra,Lab,Ok,Unidad de Informática,,,,,,
6/26/2024 10:04:26,Queja,Préstamo de Equipo Informático,Préstamo de computadora ,No tenía Internet la computadora ,Unidad de Informática,,,,,,
6/26/2024 18:32:18,Sugerencia,Control y Ejercicio de Recursos Excedentes,Computo,Todo bien ,Departamento de Ciencias e Ingeniería de la Computación,,,,,,
6/27/2024 14:17:46,Felicitación,Gestión de la Evaluación Curricular de Programas Académicos,Laboratorio de uso libre,Me gusto,Unidad de Informática,,,,,,
6/27/2024 14:18:24,Sugerencia,Planeación Institucional,UDI,Las computadoras no tenían internet pero no fue buen servicio ,Unidad de Informática,,,,,,
7/1/2024 14:17:10,Felicitación,Gestión del Diseño de Programas de Estudio,Cómputo ,El internet es un poco malo ,Departamento de Ingeniería en Sistemas Computacionales,,,,,,
7/1/2024 16:36:41,Felicitación,Préstamo de Equipo Informático,Pc,Buen servicio ,Unidad de Informática,,,,,,
7/3/2024 16:31:55,Sugerencia,Préstamo de Equipo Informático,Computadora ,Fijarse en el internet y la distribución de cables ethernet ,Unidad de Informática,,,,,,
7/3/2024 16:32:18,Felicitación,Préstamo de Equipo Informático,Uso de computadoras ,Buen servicio ,Unidad de Informática,,,,,,
7/3/2024 18:14:14,Queja,Registro y Control de Bienes Muebles del Activo Fijo,H,Atención lenta,Departamento de Ciencias e Ingeniería de la Computación,,,,,,
8/26/2024 16:30:51,Sugerencia,Préstamo de Equipo Informático,Computadoras ,Mejor internet ,Unidad de Informática,Unidad de Informática,,,,,
8/26/2024 16:31:00,Sugerencia,Préstamo de Equipo Informático,Computadora,No hay internet en algunas máquinas ,Unidad de Informática,Unidad de Informática,,,,,
8/27/2024 14:49:18,Felicitación,Préstamo de Equipo Informático,Prestar computadora ,Me gustó los equipos ,Unidad de Informática,Unidad de Informática,,,,,
8/27/2024 18:07:19,Queja,Préstamo de Equipo Informático,Laboratorio,El chico siempre pide llenar la encuesta y me quita tiempo.,Unidad de Informática,Unidad de Informática,,,,,
8/27/2024 18:07:29,Felicitación,Uso de laboratorio ,Consulta de información en medios digitales,"Ninguna, todo bien ",Unidad de Informática,Unidad de Informática,,,,,
9/3/2024 13:30:45,Queja,Inscripción,Baja y alta de materias ,La persona que estaba en ventanilla el dia 3 de septiembre a las 1:20 contesto de manera prepotente y despota sobre la información de un tramite,Departamento de Servicios Estudiantiles,Gestión escolar,,,,,
9/4/2024 11:50:48,Felicitación,Seguimiento a Egresados,Computo ,Ninguna ,Unidad de Informática,Departamento de Extensión y Apoyos Educativos,,,,,
9/6/2024 13:05:57,Queja,Préstamo de Equipo Informático,Préstamo de computadoras ,Las computadoras no tienen internet y se tarda en buscar una con internet ,Unidad de Informática,Unidad de Informática,,,,,
9/9/2024 7:54:45,Sugerencia,Préstamo de Equipo Informático,Préstamo de una computadora para un trabajo escolar.,No había internet en las máquinas.,Unidad de Informática,Unidad de Informática,,,,,
9/9/2024 7:55:08,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo de cómputo ,Atención buena ,Unidad de Informática,Unidad de Informática,,,,,
9/9/2024 9:59:27,Felicitación,Préstamo de Equipo Informático,Préstamo de computadora ,felicitación ,Unidad de Informática,Unidad de Informática,,,,,
9/9/2024 10:21:19,Felicitación,Prácticas Académicas de Laboratorios y Talleres,Realizacion de trabajos en pc,Son muy amables y atentos ,Unidad de Informática,Unidad de Informática,,,,,
9/10/2024 10:53:18,Sugerencia,Préstamo de Equipo Informático,Laboratorio de uso común de computadoras,Tener cables de red ethernet disponibles para laptops,Unidad de Informática,Unidad de Informática,,,,,
9/10/2024 11:58:10,Felicitación,Prácticas Académicas de Laboratorios y Talleres,Uso de aula libre,Todo bien,,Unidad de Informática,,,,,
9/10/2024 14:46:39,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Compyto,Bien,Innovación Educativa,Unidad de Informática,,,,,
9/10/2024 14:58:06,Felicitación,Gestión para las Prácticas y/o Visitas Escolares,Prestamo,Buen servicio ,Depto. de Evaluación y Seguimiento Académico,Depto. de Evaluación y Seguimiento Académico,,,,,
9/10/2024 16:15:59,Felicitación,Préstamo de Equipo Informático,Entrada a laboratorio,Funciona bien,Unidad de Informática,Unidad de Informática,,,,,
9/11/2024 11:31:36,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Tarea ,Eficiencia,Departamento de Formación Básica,Unidad de Informática,,,,,
9/11/2024 12:55:18,Sugerencia,Planeación Institucional,Todo bien,No,Coordinación de Enlace y Gestión Técnica,Coordinación de Enlace y Gestión Técnica,,,,,
9/12/2024 14:08:05,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Internet ,Internet ,Unidad de Informática,Unidad de Informática,,,,,
9/13/2024 11:51:18,Felicitación,Prestar ,Préstamo de equipo ,De momento nada,Unidad de Informática,Unidad de Informática,,,,,
9/13/2024 11:52:09,Queja,Préstamo de Equipo Informático,COMPUTADORA,NO HABÍA INTERNET ,Departamento de Ciencias e Ingeniería de la Computación,Unidad de Informática,,,,,
9/13/2024 11:52:32,Queja,Préstamo de Equipo Informático,computadoras ,no había internet en las computadoras ,Unidad de Informática,Unidad de Informática,,,,,
9/13/2024 13:40:41,Queja,Actividades Culturales y/o Deportivas,Auditorio de ESCOM ,"Me explicaron que al pedir el auditorio de ESCOM, se tenía que pedir grupo a la subdirección académica. Siempre dicen que andan ocupados y cuando dices que no hay problema, que esperas, te miran mal. Ya cuando ven que te esperas te ven con una cara de asco y ya te hacen pasar y te atienden de mala gana. Te hablan altaneramente y te ningunean. Ni siquiera dejan explicar bien la situación porque te están regañando como si fuera tu culpa ir allí. Encima denigran tu espacio en el auditorio como si lo que fueras hacer no vale nada como incitándote a cancelarla.",Subdirección Académica,Departamento de Extensión y Apoyos Educativos,,,,,
